rank;finalWorth;personName;age;country;city;source;industries;countryOfCitizenship;organization;selfMade;gender;lastName;firstName;title;birthYear;birthMonth;cpi_country;gdp_country_trillions;gross_tertiary_education_enrollment;gross_primary_education_enrollment_country;life_expectancy_country;tax_revenue_country_country;total_tax_rate_country;population_country;latitude_country;longitude_country
1217;2500;Arvind Tiku;53;Singapore;Singapore;Oil & gas, investments;Energy;India;;TRUE;M;Tiku;Arvind;;1970;2;114,41;.372062527Trillions;84,8;100,6;83,1;13,1;21;5703569;1,352083;103,819836
1217;2500;Byron Trott;64;United States;Winnetka;Investments;Finance & Investments;United States;;TRUE;M;Trott;Byron;;1958;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1217;2500;Donald Trump;76;United States;Palm Beach;Real estate;Real Estate;United States;;FALSE;M;Trump;Donald;;1946;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1217;2500;Peter Unger;78;Germany;Neustadt an der Waldnaab;Auto repair;Automotive;Germany;;TRUE;M;Unger;Peter;;1944;8;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
1217;2500;Roger Wang;74;China;Nanjing;Retail;Fashion & Retail;United States;;TRUE;M;Wang;Roger;;1949;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1217;2500;Oprah Winfrey;69;United States;Montecito;TV shows;Media & Entertainment;United States;;TRUE;F;Winfrey;Oprah;Entrepreneur, Personality, Philanthropist;1954;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1217;2500;Wu Zhigang & family;88;China;Shenyang;Bakery chain;Food & Beverage;China;;TRUE;M;Wu;Zhigang;;1935;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1217;2500;Xie Weitong;66;Singapore;;Cobalt;Metals & Mining;Taiwan;;TRUE;M;Xie;Weitong;;1957;1;114,41;.372062527Trillions;84,8;100,6;83,1;13,1;21;5703569;1,352083;103,819836
1217;2500;Ye Guofu;45;China;Guangzhou;Retail;Fashion & Retail;China;;TRUE;M;Ye;Guofu;;1978;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1272;2400;Brian Acton;51;United States;Palo Alto;WhatsApp;Technology;United States;WhatsApp Inc.;TRUE;M;Acton;Brian;Cofounder;1972;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Abdulla Al Futtaim & family;83;United Arab Emirates;Dubai;Auto dealers, investments;Automotive;United Arab Emirates;;FALSE;M;Al Futtaim;Abdulla;;1940;1;114,52;.421142268Trillions;36,8;108,4;77,8;0,1;15,9;9770529;23,424076;53,847818
1272;2400;Edward Bass;77;United States;Fort Worth;Oil, investments;Energy;United States;;FALSE;M;Bass;Edward;;1945;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Koos Bekker;70;South Africa;Cape Town;Media, investments;Media & Entertainment;South Africa;;TRUE;M;Bekker;Koos;;1952;12;158,93;.351431649Trillions;22,4;100,9;63,9;27,5;29,2;58558270;-30,559482;22,937506
1272;2400;Otto Philipp Braun;45;Germany;Melsungen;Medical technology;Healthcare;Germany;;FALSE;M;Braun;Otto Philipp;;1978;1;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
1272;2400;Chen Tei-fu;74;United States;Los Angeles;Herbal products;Fashion & Retail;Taiwan;;TRUE;M;Chen;Tei-fu;;1948;4;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Abilio dos Santos Diniz;86;Brazil;Sao Paulo;Retail;Fashion & Retail;Brazil;;FALSE;M;Diniz;Abilio dos Santos;;1936;12;167,4;1.839758041Trillions;51,3;115,4;75,7;14,2;65,1;212559417;-14,235004;-51,92528
1272;2400;Marcel Erni;58;Switzerland;Zug;Private equity;Finance & Investments;Switzerland;;TRUE;M;Erni;Marcel;;1965;1;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
1272;2400;Doris Fisher;91;United States;San Francisco;Gap;Fashion & Retail;United States;Gap Inc.;TRUE;F;Fisher;Doris;Cofounder;1931;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Gerald Ford;78;United States;Dallas;Banking;Finance & Investments;United States;Ford Financial Fund;TRUE;M;Ford;Gerald;Managing Member;1944;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Bernard Fraisse & family;66;France;Paris;Pharmaceuticals;Healthcare;France;;TRUE;M;Fraisse;Bernard;;1956;8;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
1272;2400;Alfred Gantner;55;Switzerland;Zug;Private equity;Finance & Investments;Switzerland;;TRUE;M;Gantner;Alfred;;1968;4;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
1272;2400;Paul Gauselmann & family;88;Germany;Espelkamp;Gambling;Gambling & Casinos;Germany;;TRUE;M;Gauselmann;Paul;;1934;8;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
1272;2400;Mitchell Goldhar;61;Canada;North York;Real estate;Real Estate;Canada;SmartCentres;TRUE;M;Goldhar;Mitchell;Owner;1961;7;116,76;1.736425630Trillions;68,9;100,9;81,9;12,8;24,5;36991981;56,130366;-106,346771
1272;2400;Peter Hargreaves;76;United Kingdom;Bristol;Financial services;Finance & Investments;United Kingdom;;TRUE;M;Hargreaves;Peter;;1946;10;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
1272;2400;Xuande Hua & family;79;China;Taizhou;Pharmaceuticals;Healthcare;China;;TRUE;M;Hua;Xuande;;1943;10;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1272;2400;Kwek Leng Kee;68;Singapore;Singapore;Diversified;Diversified;Singapore;;FALSE;M;Kwek;Leng Kee;;1955;1;114,41;.372062527Trillions;84,8;100,6;83,1;13,1;21;5703569;1,352083;103,819836
1272;2400;Catherine Lozick;77;United States;Fort Lauderdale;Valve manufacturing;Manufacturing;United States;;FALSE;F;Lozick;Catherine;;1945;5;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Kalanithi Maran;57;India;Chennai;Media;Media & Entertainment;India;;TRUE;M;Maran;Kalanithi;;1965;7;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
1272;2400;Jed McCaleb;48;United States;Berkeley;Cryptocurrency;Finance & Investments;United States;;TRUE;M;McCaleb;Jed;;1975;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Fatih Ozmen;65;United States;Reno;Aerospace;Manufacturing;United States;;TRUE;M;Ozmen;Fatih;;1958;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Pan Laican;;China;foshan;Soy sauce;Food & Beverage;China;;TRUE;M;Pan;Laican;;;;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1272;2400;Tor Peterson;58;Switzerland;Zug;Commodities;Metals & Mining;United States;;TRUE;M;Peterson;Tor;;1964;8;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
1272;2400;Daniel Pritzker;63;United States;Marin County;Hotels, investments;Finance & Investments;United States;;FALSE;M;Pritzker;Daniel;;1959;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Jinxing Qi;61;China;Hangzhou;Real estate;Real Estate;China;;TRUE;M;Qi;Jinxing;;1962;3;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1272;2400;Qiu Jianping & family;61;China;Hangzhou;Hand tools;Manufacturing;China;;TRUE;M;Qiu;Jianping;;1962;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1272;2400;Rajan Raheja & family;68;India;Mumbai;Diversified;Diversified;India;;FALSE;M;Raheja;Rajan;;1954;6;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
1272;2400;Matthias Reinhart;63;Switzerland;Zurich;Financial services;Finance & Investments;Switzerland;;TRUE;M;Reinhart;Matthias;;1960;1;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
1272;2400;Arnout Schuijff;55;Netherlands;Amsterdam;Payments software;Technology;Netherlands;;TRUE;M;Schuijff;Arnout;;1967;10;115,91;.909070395Trillions;85;104,2;81,8;23;41,2;17332850;52,132633;5,291266
1272;2400;Hans Sy;67;Philippines;Manila;Diversified;Diversified;Philippines;;FALSE;M;Sy;Hans;;1955;9;129,61;.376795509Trillions;35,5;107,5;71,1;14;43,1;108116615;12,879721;121,774017
1272;2400;Herbert Sy;66;Philippines;Manila;Diversified;Diversified;Philippines;;FALSE;M;Sy;Herbert;;1956;10;129,61;.376795509Trillions;35,5;107,5;71,1;14;43,1;108116615;12,879721;121,774017
1272;2400;Lucio Tan;88;Philippines;Manila;Diversified;Diversified;Philippines;;TRUE;M;Tan;Lucio;;1934;7;129,61;.376795509Trillions;35,5;107,5;71,1;14;43,1;108116615;12,879721;121,774017
1272;2400;Tsai Ming-kai;72;Taiwan;Hsinchu;Semiconductors;Technology;Taiwan;;TRUE;M;Tsai;Ming-kai;;1950;4;;;;;;;;;;
1272;2400;Ted Turner;84;United States;Atlanta;Cable television;Media & Entertainment;United States;;FALSE;M;Turner;Ted;;1938;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;David Walentas;84;United States;New York;Real estate;Real Estate;United States;;TRUE;M;Walentas;David;;1938;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Urs Wietlisbach;61;Switzerland;Zug;Private equity;Finance & Investments;Switzerland;;TRUE;M;Wietlisbach;Urs;;1961;8;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
1272;2400;Jerry Yang;54;United States;Los Altos Hills;Yahoo;Technology;United States;Yahoo!;TRUE;M;Yang;Jerry;Cofounder;1968;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1272;2400;Yang Jianliang & family;53;China;Wuxi;Machinery;Manufacturing;China;;TRUE;M;Yang;Jianliang;;1969;6;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1272;2400;Yang Weidong & family;54;China;Jiaxing;Chemicals;Manufacturing;China;;TRUE;M;Yang;Weidong;;1968;9;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1272;2400;Mortimer Zuckerman;85;United States;New York;Real estate, media;Real Estate;United States;Boston Properties;TRUE;M;Zuckerman;Mortimer;Chairman and CEO;1937;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1312;2300;John Armitage;63;United Kingdom;London;Hedge funds;Finance & Investments;Ireland;Egerton Capital;TRUE;M;Armitage;John;;1959;12;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
1312;2300;Lee Bass;66;United States;Fort Worth;Oil, investments;Energy;United States;;FALSE;M;Bass;Lee;;1956;5;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1312;2300;John Bicket;43;United States;San Francisco;Sensor systems;Technology;United States;;TRUE;M;Bicket;John;;1980;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1312;2300;Sanjit Biswas;41;United States;San Francisco;Sensor systems;Technology;United States;;TRUE;M;Biswas;Sanjit;;1982;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1312;2300;Timothy Boyle;73;United States;Portland;Columbia Sportswear;Fashion & Retail;United States;;TRUE;M;Boyle;Timothy;;1949;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1312;2300;Morris Chang;91;Taiwan;Hsinchu;Semiconductors;Technology;Taiwan;;TRUE;M;Chang;Morris;;1931;7;;;;;;;;;;
1312;2300;Chao Teng-hsiung;78;Taiwan;Taipei;Real estate;Real Estate;Taiwan;;TRUE;M;Chao;Teng-hsiung;;1944;10;;;;;;;;;;
1312;2300;Samuel Chen;73;;;Investments;Finance & Investments;Taiwan;;TRUE;M;Chen;Samuel;;1950;1;;;;;;;;;;
1312;2300;Chu Lam Yiu;53;Hong Kong;Hong Kong;Flavorings;Manufacturing;Hong Kong;;TRUE;F;Chu;Lam Yiu;;1969;12;;;;;;;;;;
1312;2300;K. Dinesh;68;India;Bangalore;Software services;Technology;India;;TRUE;M;Dinesh;K.;;1954;6;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
