rank;finalWorth;personName;age;country;city;source;industries;countryOfCitizenship;organization;selfMade;gender;lastName;firstName;title;birthYear;birthMonth;cpi_country;gdp_country_trillions;gross_tertiary_education_enrollment;gross_primary_education_enrollment_country;life_expectancy_country;tax_revenue_country_country;total_tax_rate_country;population_country;latitude_country;longitude_country
290;7600;Joe Gebbia;41;United States;Austin;Airbnb;Technology;United States;Airbnb, Inc.;TRUE;M;Gebbia;Joe;Cofounder & Chair of Airbnb.org;1981;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
290;7600;Philip Ng;64;Singapore;Singapore;Real Estate;Real Estate;Singapore;;FALSE;M;Ng;Philip;;1959;1;114,41;.372062527Trillions;84,8;100,6;83,1;13,1;21;5703569;1,352083;103,819836
290;7600;John Reece;66;United Kingdom;London;Chemicals;Manufacturing;United Kingdom;;TRUE;M;Reece;John;;1957;3;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
290;7600;Leonard Stern;85;United States;New York;Real estate;Real Estate;United States;Hartz Mountain Industries, Inc.;FALSE;M;Stern;Leonard;Chairman and CEO;1938;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
290;7600;Joseph Tsai;59;Hong Kong;Hong Kong;E-commerce;Technology;Canada;;TRUE;M;Tsai;Joseph;;1964;1;;;;;;;;;;
290;7600;Zhong Huijuan;62;China;Shanghai;Pharmaceuticals;Healthcare;China;;TRUE;F;Zhong;Huijuan;;1961;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
299;7500;Arthur Blank;80;United States;Atlanta;Home Depot;Sports;United States;Atlanta Falcons;TRUE;M;Blank;Arthur;Chairman;1942;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
299;7500;Charles Butt;85;United States;San Antonio;Supermarkets;Fashion & Retail;United States;;FALSE;M;Butt;Charles;;1938;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
299;7500;Ding Shijia;59;China;Quanzhou;Sports apparel;Fashion & Retail;China;;TRUE;M;Ding;Shijia;;1964;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
299;7500;Paul Tudor Jones, II.;68;United States;Palm Beach;Hedge funds;Finance & Investments;United States;Tudor Investment Corporation;TRUE;M;Jones;Paul Tudor;Founder;1954;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
299;7500;Henry Kravis;79;United States;New York;Private equity;Finance & Investments;United States;KKR & Co.;TRUE;M;Kravis;Henry;Co-Chair and Co-CEO;1944;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
299;7500;Zhang Yong;52;Singapore;Singapore;Restaurants;Food & Beverage;Singapore;;TRUE;M;Zhang;Yong;;1970;7;114,41;.372062527Trillions;84,8;100,6;83,1;13,1;21;5703569;1,352083;103,819836
305;7400;James Goodnight;80;United States;Cary;Software;Technology;United States;SAS Institute;TRUE;M;Goodnight;James;CEO;1943;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
305;7400;Sri Prakash Lohia;70;United Kingdom;London;Petrochemicals;Manufacturing;Indonesia;;FALSE;M;Lohia;Sri Prakash;;1952;8;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
305;7400;Ma Jianrong;59;China;Ningbo;Textiles, apparel;Fashion & Retail;China;;TRUE;M;Ma;Jianrong;;1964;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
305;7400;Robert Ng;71;Singapore;Singapore;Real estate;Real Estate;Singapore;;FALSE;M;Ng;Robert;;1952;1;114,41;.372062527Trillions;84,8;100,6;83,1;13,1;21;5703569;1,352083;103,819836
305;7400;Steven Rales;72;United States;Santa Barbara;Manufacturing, investments;Manufacturing;United States;Danaher;TRUE;M;Rales;Steven;Investor;1951;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
305;7400;Nassef Sawiris;62;Egypt;Cairo;Construction, investments;Construction & Engineering;Egypt;;FALSE;M;Sawiris;Nassef;;1961;1;288,57;.303175128Trillions;35,2;106,3;71,8;12,5;44,4;100388073;26,820553;30,802498
305;7400;Harry Stine;81;United States;Adel;Agriculture;Food & Beverage;United States;;TRUE;M;Stine;Harry;;1941;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
312;7300;Benu Gopal Bangur;91;India;Kolkata;Cement;Manufacturing;India;;FALSE;M;Bangur;Benu Gopal;;1931;6;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
312;7300;Iskander Makhmudov;59;Russia;Moscow;Mining, metals, machinery;Metals & Mining;Russia;;TRUE;M;Makhmudov;Iskander;;1963;12;180,75;1.699876579Trillions;81,9;102,6;72,7;11,4;46,2;144373535;61,52401;105,318756
312;7300;Anders Holch Povlsen;50;Denmark;Aarhus;Fashion retail;Fashion & Retail;Denmark;;FALSE;M;Povlsen;Anders Holch;;1972;11;110,35;.348078018Trillions;80,6;101,3;81;32,4;23,8;5818553;56,26392;9,501785
312;7300;Enrique Razon Jr.;63;Philippines;Manila;Ports;Logistics;Philippines;;FALSE;M;Razon Jr.;Enrique;;1960;3;129,61;.376795509Trillions;35,5;107,5;71,1;14;43,1;108116615;12,879721;121,774017
312;7300;Wang Laichun;55;China;Shenzhen;Electronics components;Technology;Hong Kong;;TRUE;F;Wang;Laichun;;1967;6;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
317;7200;Arthur Dantchik;65;United States;Gladwyne;Trading, investments;Finance & Investments;United States;;TRUE;M;Dantchik;Arthur;;1957;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
317;7200;Terry Gou;72;Taiwan;Taipei;Electronics;Technology;Taiwan;Hon Hai Precision Industries;TRUE;M;Gou;Terry;CEO;1950;10;;;;;;;;;;
317;7200;Jeff Greene;68;United States;Palm Beach;Real estate, investments;Real Estate;United States;;TRUE;M;Greene;Jeff;;1954;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
317;7200;Don Hankey;79;United States;Malibu;Auto loans;Finance & Investments;United States;Hankey Group;TRUE;M;Hankey;Don;Chairman;1943;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
317;7200;Richard Kinder;78;United States;Houston;Pipelines;Energy;United States;Kinder Morgan Inc;TRUE;M;Kinder;Richard;Chairman and CEO;1944;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
317;7200;Guillaume Pousaz;41;United Arab Emirates;Dubai;Fintech;Finance & Investments;Switzerland;;TRUE;M;Pousaz;Guillaume;;1981;8;114,52;.421142268Trillions;36,8;108,4;77,8;0,1;15,9;9770529;23,424076;53,847818
317;7200;Takahisa Takahara;61;Japan;Tokyo;Personal care goods;Fashion & Retail;Japan;;FALSE;M;Takahara;Takahisa;;1961;7;105,48;5.081769542Trillions;63,2;98,8;84,2;11,9;46,7;126226568;36,204824;138,252924
317;7200;Zong Qinghou;77;China;Hangzhou;Beverages;Food & Beverage;China;Hangzhou Wahaha Group;TRUE;M;Zong;Qinghou;Chairman;1945;10;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
325;7100;Judy Faulkner;79;United States;Madison;Healthcare software;Technology;United States;Epic Systems;TRUE;F;Faulkner;Judy;Founder and CEO;1943;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
325;7100;Johann Graf;76;Austria;Vienna;Gambling;Gambling & Casinos;Austria;;TRUE;M;Graf;Johann;;1947;1;118,06;.446314740Trillions;85,1;103,1;81,6;25,4;51,4;8877067;47,516231;14,550072
325;7100;Tamara Gustavson;61;United States;Lexington;Self storage;Service;United States;;FALSE;F;Gustavson;Tamara;;1961;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
325;7100;Liang Wengen;66;China;Changsha;Construction equipment;Manufacturing;China;;TRUE;M;Liang;Wengen;;1956;12;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
325;7100;Frederik Paulsen;72;Switzerland;Lausanne;Health care;Healthcare;Sweden;;FALSE;M;Paulsen;Frederik;;1950;10;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
325;7100;Wee Cho Yaw;94;Singapore;Singapore;Banking;Finance & Investments;Singapore;;FALSE;M;Wee;Cho Yaw;;1929;1;114,41;.372062527Trillions;84,8;100,6;83,1;13,1;21;5703569;1,352083;103,819836
325;7100;Zhang Hejun;71;China;Ningbo;Electronics;Manufacturing;China;;TRUE;M;Zhang;Hejun;;1952;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
332;7000;Marc Benioff;58;United States;San Francisco;Business software;Technology;United States;Salesforce.com;TRUE;M;Benioff;Marc;Chairman and CEO;1964;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
332;7000;Dmitri Bukhman;37;United Kingdom;London;Online games;Media & Entertainment;Israel;;TRUE;M;Bukhman;Dmitri;;1985;5;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
332;7000;Igor Bukhman;41;United Kingdom;London;Online games;Media & Entertainment;Israel;;TRUE;M;Bukhman;Igor;;1982;3;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
332;7000;Jack Dangermond;77;United States;Redlands;Mapping software;Technology;United States;;TRUE;M;Dangermond;Jack;;1945;7;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
332;7000;Ashwin Dani & family;80;India;Mumbai;Paints;Manufacturing;India;;FALSE;M;Dani;Ashwin;;1942;10;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
332;7000;Ralph Lauren;83;United States;New York;Apparel;Fashion & Retail;United States;Ralph Lauren;TRUE;M;Lauren;Ralph;Chairman ;1939;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
332;7000;Law Kar Po;74;Hong Kong;Hong Kong;Real estate;Real Estate;Hong Kong;;FALSE;M;Law;Kar Po;;1948;8;;;;;;;;;;
332;7000;Rohiqa Cyrus Mistry;55;India;Mumbai;Diversified;Diversified;India;;FALSE;F;Mistry;Rohiqa Cyrus;;1967;6;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
332;7000;Shapoor Mistry;58;India;Mumbai;Diversified;Diversified;Ireland;;FALSE;M;Mistry;Shapoor;;1964;9;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
332;7000;J. Christopher Reyes;69;United States;Hobe Sound;Food distribution;Food & Beverage;United States;Reyes Holdings, LLC;TRUE;M;Reyes;J. Christopher;Co-Chairman;1953;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
332;7000;Jude Reyes;67;United States;Palm Beach;Food distribution;Food & Beverage;United States;Reyes Holdings, LLC;TRUE;M;Reyes;Jude;Co-Chairman;1955;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
332;7000;Don Vultaggio & family;71;United States;Port Washington;Beverages;Food & Beverage;United States;;TRUE;M;Vultaggio;Don;;1952;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
344;6900;Alejandro Bailleres Gual & family;62;Mexico;;Diversified;Diversified;Mexico;;FALSE;M;Bailleres Gual;Alejandro;;1961;1;141,54;1.258286717Trillions;40,2;105,8;75;13,1;55,1;126014024;23,634501;-102,552784
344;6900;Edythe Broad & family;87;United States;Los Angeles;Homebuilding, insurance;Diversified;United States;;FALSE;F;Broad;Edythe;;1936;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
344;6900;Pauline MacMillan Keinath;89;United States;St. Louis;Cargill;Food & Beverage;United States;;FALSE;F;Keinath;Pauline MacMillan;;1934;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
344;6900;Philippe Laffont;55;United States;New York;Hedge fund;Finance & Investments;United States;Coatue Management;TRUE;M;Laffont;Philippe;Founder;1967;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
344;6900;Liu Jincheng & family;58;China;Huizhou;Lithium batteries;Technology;China;;TRUE;M;Liu;Jincheng;;1964;9;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
344;6900;Igor Olenicoff;80;United States;Lighthouse Point;Real estate;Real Estate;United States;;TRUE;M;Olenicoff;Igor;;1942;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
344;6900;Sandra Ortega Mera;54;Spain;La Coruna;Zara;Fashion & Retail;Spain;;FALSE;F;Ortega Mera;Sandra;;1968;7;110,96;1.394116311Trillions;88,9;102,7;83,3;14,2;47;47076781;40,463667;-3,74922
344;6900;Ronda Stryker;68;United States;Portage;Medical equipment;Healthcare;United States;;FALSE;F;Stryker;Ronda;;1954;5;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;Dannine Avara;59;United States;Houston;Pipelines;Energy;United States;;FALSE;F;Avara;Dannine;;1964;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;Silvio Berlusconi & family;86;Italy;Milan;Media;Diversified;Italy;;TRUE;M;Berlusconi;Silvio;;1936;9;110,62;2.001244392Trillions;61,9;101,9;82,9;24,3;59,1;60297396;41,87194;12,56738
352;6800;Denise Coates;55;United Kingdom;Stoke-on-Trent;Online gambling;Gambling & Casinos;United Kingdom;;TRUE;F;Coates;Denise;;1967;9;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
352;6800;Scott Duncan;40;United States;Houston;Pipelines;Energy;United States;;FALSE;M;Duncan;Scott;;1982;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;Milane Frantz;53;United States;Houston;Pipelines;Energy;United States;;FALSE;F;Frantz;Milane;;1969;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;Edward Johnson, IV.;58;United States;Boston;Fidelity;Finance & Investments;United States;;FALSE;M;Johnson;Edward;;1964;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;Yuri Milner;61;United States;Los Altos;Tech investments;Finance & Investments;Israel;DST Global;TRUE;M;Milner;Yuri;Investor;1961;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;Gordon Moore;94;United States;Woodside;Intel;Technology;United States;Intel Corp.;TRUE;M;Moore;Gordon;Cofounder and Chairman Emeritus;1929;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;John Overdeck;53;United States;Millburn;Hedge funds;Finance & Investments;United States;Two Sigma;TRUE;M;Overdeck;John;Investor;1969;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;David Siegel;61;United States;Scarsdale;Hedge funds;Finance & Investments;United States;Two Sigma;TRUE;M;Siegel;David;Investor;1961;7;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
352;6800;Viktor Vekselberg;65;Russia;Moscow;Metals, investments;Diversified;Russia;;TRUE;M;Vekselberg;Viktor;;1957;4;180,75;1.699876579Trillions;81,9;102,6;72,7;11,4;46,2;144373535;61,52401;105,318756
352;6800;Wang Laisheng;58;China;Shenzhen;Electronics components;Technology;Hong Kong;;TRUE;M;Wang;Laisheng;;1964;12;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
352;6800;Randa Duncan Williams;61;United States;Houston;Pipelines;Energy;United States;Enterprise GP Holdings;FALSE;F;Williams;Randa Duncan;Non-Executive Chairman of the Board;1961;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
365;6700;Ken Fisher;72;United States;Dallas;Money management;Finance & Investments;United States;;TRUE;M;Fisher;Ken;;1950;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
365;6700;Christopher Hohn;56;United Kingdom;London;Hedge funds;Finance & Investments;United Kingdom;The Children's Investment Fund Management;TRUE;M;Hohn;Christopher;Investor;1966;10;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
365;6700;Kjeld Kirk Kristiansen;75;Denmark;Billund;Lego;Manufacturing;Denmark;;FALSE;M;Kristiansen;Kjeld Kirk;;1947;12;110,35;.348078018Trillions;80,6;101,3;81;32,4;23,8;5818553;56,26392;9,501785
365;6700;Sofie Kirk Kristiansen;47;Denmark;Billund;Lego;Manufacturing;Denmark;;FALSE;F;Kristiansen;Sofie Kirk;;1976;1;110,35;.348078018Trillions;80,6;101,3;81;32,4;23,8;5818553;56,26392;9,501785
365;6700;Thomas Kirk Kristiansen;44;Denmark;Billund;Lego;Manufacturing;Denmark;;FALSE;M;Kristiansen;Thomas Kirk;;1979;1;110,35;.348078018Trillions;80,6;101,3;81;32,4;23,8;5818553;56,26392;9,501785
365;6700;Massimiliana Landini Aleotti & family;80;Italy;Fiesole;Pharmaceuticals;Healthcare;Italy;;FALSE;F;Landini Aleotti;Massimiliana;;1943;1;110,62;2.001244392Trillions;61,9;101,9;82,9;24,3;59,1;60297396;41,87194;12,56738
365;6700;Li Ping;55;China;Ningde;Batteries;Automotive;Hong Kong;;TRUE;M;Li;Ping;;1968;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
365;6700;Lin Jianhua;60;China;Hangzhou;Solar panel components;Manufacturing;China;;TRUE;M;Lin;Jianhua;;1962;8;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
365;6700;Magdalena Martullo-Blocher;54;Switzerland;Feldmeilen;Chemicals;Manufacturing;Switzerland;;FALSE;F;Martullo-Blocher;Magdalena;;1969;1;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
365;6700;Xavier Niel;55;France;Paris;Internet, telecom;Telecom;France;;TRUE;M;Niel;Xavier;;1967;8;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
365;6700;Terrence Pegula;72;United States;Boca Raton;Natural gas;Energy;United States;Buffalo Sabres;TRUE;M;Pegula;Terrence;Owner;1951;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
365;6700;Edward Roski, Jr.;84;United States;Los Angeles;Real estate;Real Estate;United States;Majestic Realty, Co.;FALSE;M;Roski;Edward;President and Chairman;1938;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
365;6700;John A. Sobrato & family;83;United States;Atherton;Real estate;Real Estate;United States;Sobrato Development Cos.;TRUE;M;Sobrato;John A.;Founder and Chairman;1939;5;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
365;6700;George Soros;92;United States;Katonah;Hedge funds;Finance & Investments;United States;Soros Fund Management LLC;TRUE;M;Soros;George;Founder;1930;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
365;6700;David Sun;71;United States;Irvine;Computer hardware;Technology;United States;Kingston Technology Corporation;TRUE;M;Sun;David;COO;1951;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
365;6700;Agnete Kirk Thinggaard;39;Denmark;Billund;Lego;Manufacturing;Denmark;;FALSE;F;Thinggaard;Agnete Kirk;;1983;5;110,35;.348078018Trillions;80,6;101,3;81;32,4;23,8;5818553;56,26392;9,501785
365;6700;John Tu;81;United States;Rolling Hills;Computer hardware;Technology;United States;Kingston Technology Corporation;TRUE;M;Tu;John;President;1941;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
365;6700;Xu Shihui;65;China;Quanzhou;Snacks, beverages;Food & Beverage;China;;TRUE;M;Xu;Shihui;;1958;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
383;6600;Rahel Blocher;47;Switzerland;Wilen bei Wollerau;Chemicals;Manufacturing;Switzerland;;FALSE;F;Blocher;Rahel;;1976;1;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
383;6600;Bubba Cathy;68;United States;Atlanta;Chick-fil-A;Food & Beverage;United States;;FALSE;M;Cathy;Bubba;;1954;4;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
383;6600;Dan Cathy;70;United States;Atlanta;Chick-fil-A;Food & Beverage;United States;;FALSE;M;Cathy;Dan;;1953;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
383;6600;Trudy Cathy White;67;United States;Hampton;Chick-fil-A;Food & Beverage;United States;;FALSE;F;Cathy White;Trudy;;1955;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
383;6600;Bruce Kovner;78;United States;New York;Hedge funds;Finance & Investments;United States;Caxton Associates LP;TRUE;M;Kovner;Bruce;Founder;1945;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
383;6600;Henry Nicholas, III.;63;United States;Newport Coast;Semiconductors;Technology;United States;Broadcom;TRUE;M;Nicholas;Henry;Cofounder;1959;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
383;6600;Nadia Thiele;47;Germany;Munich;Investments;Finance & Investments;Germany;;FALSE;F;Thiele;Nadia;;1976;1;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
390;6500;David Bonderman;80;United States;Fort Worth;Private equity;Finance & Investments;United States;;TRUE;M;Bonderman;David;;1942;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
390;6500;Melinda French Gates;58;United States;Medina;Microsoft;Technology;United States;Bill & Melinda Gates Foundation;FALSE;F;French Gates;Melinda;Cochair;1964;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
390;6500;Nathan Kirsh;91;Eswatini (Swaziland);Ezulwini;Retail, real estate;Fashion & Retail;Eswatini (Swaziland);;TRUE;M;Kirsh;Nathan;;1932;1;;;;;;;;;;
390;6500;Annette Lerner & family;93;United States;Chevy Chase;Real estate;Real Estate;United States;;FALSE;F;Lerner;Annette;;1930;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
390;6500;David Reuben;84;United Kingdom;London;Investments, real estate;Real Estate;United Kingdom;;TRUE;M;Reuben;David;;1938;9;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
390;6500;Simon Reuben;81;Monaco;Monaco;Real estate, investments;Diversified;United Kingdom;;TRUE;M;Reuben;Simon;;1941;5;;.007184844Trillions;;;;;;38964;43,7384176;7,4246158
390;6500;Radovan Vitek;51;Switzerland;Crans Montana;Real estate;Real Estate;Czech Republic;;TRUE;M;Vitek;Radovan;;1971;4;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
397;6400;Carl Bennet;71;Sweden;Gothenberg;Investments;Finance & Investments;Sweden;;TRUE;M;Bennet;Carl;;1951;8;110,51;.530832909Trillions;67;126,6;82,5;27,9;49,1;10285453;60,128161;18,643501
397;6400;Stephen Bisciotti;62;United States;Hobe Sound;Staffing, Baltimore Ravens;Sports;United States;Baltimore Ravens;TRUE;M;Bisciotti;Stephen;Owner;1960;4;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
397;6400;Stanley Druckenmiller;69;United States;New York;Hedge funds;Finance & Investments;United States;Duquesne Family Office;TRUE;M;Druckenmiller;Stanley;Founder;1953;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
397;6400;Jian Jun;59;China;Beijing;Biomedical products;Healthcare;China;;TRUE;F;Jian;Jun;;1963;11;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
397;6400;Alexei Kuzmichev;60;France;Paris;Oil, banking, telecom;Energy;Russia;;TRUE;M;Kuzmichev;Alexei;;1962;10;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
397;6400;Dmitry Rybolovlev & family;56;Monaco;Monaco;Fertilizer;Manufacturing;Russia;;TRUE;M;Rybolovlev;Dmitry;;1966;11;;.007184844Trillions;;;;;;38964;43,7384176;7,4246158
397;6400;Luis Carlos Sarmiento;90;Colombia;Bogota;Banking;Finance & Investments;Colombia;;TRUE;M;Sarmiento;Luis Carlos;;1933;1;140,95;.323802808Trillions;55,3;114,5;77,1;14,4;71,2;50339443;4,570868;-74,297333
397;6400;Dennis Washington;88;United States;Missoula;Construction, mining;Logistics;United States;;TRUE;M;Washington;Dennis;;1934;7;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
405;6300;Anthony Bamford & family;77;United Kingdom;Gloucestershire;Construction equipment;Construction & Engineering;United Kingdom;;FALSE;M;Bamford;Anthony;;1945;10;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
405;6300;Gao Jifan & family;58;China;Changzhou;Solar equipment;Energy;China;;TRUE;M;Gao;Jifan;;1965;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
405;6300;John Grayken;66;United Kingdom;London;Private equity;Finance & Investments;Ireland;;TRUE;M;Grayken;John;Investor;1956;6;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
405;6300;Alain Merieux & family;85;France;Lyon;Pharmaceuticals;Healthcare;France;;FALSE;M;Merieux;Alain;;1938;1;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
405;6300;Wang Yusuo & family;59;China;Langfang;Natural gas distribution;Energy;China;;TRUE;M;Wang;Yusuo;;1964;3;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
405;6300;Stef Wertheimer & family;96;Israel;Tel Aviv;Metalworking tools;Manufacturing;Israel;;TRUE;M;Wertheimer;Stef;;1926;7;108,15;.395098666Trillions;63,4;104,9;82,8;23,1;25,3;9053300;31,046051;34,851612
